iter	Passed	Remaining
0	82	82259
1	171	85740
2	247	82231
3	339	84587
4	428	85246
5	507	84099
6	604	85735
7	680	84380
8	747	82293
9	847	83857
10	947	85178
11	1038	85506
12	1118	84930
13	1205	84924
14	1305	85740
15	1392	85641
16	1475	85316
17	1538	83943
18	1638	84595
19	1725	84556
20	1827	85216
21	1903	84608
22	1991	84592
23	2091	85035
24	2164	84427
25	2278	85358
26	2375	85597
27	2473	85849
28	2569	86050
29	2663	86112
30	2733	85453
31	2817	85218
32	2907	85201
33	2995	85103
34	3064	84500
35	3179	85131
36	3271	85153
37	3362	85132
38	3442	84829
39	3513	84325
40	3603	84295
41	3703	84474
42	3798	84534
43	3878	84263
44	3950	83848
45	4029	83568
46	4114	83426
47	4204	83388
48	4306	83582
49	4407	83738
50	4476	83295
51	4563	83188
52	4654	83162
53	4736	82983
54	4814	82729
55	4893	82484
56	4991	82583
57	5084	82579
58	5175	82548
59	5276	82664
60	5367	82623
61	5452	82493
62	5542	82436
63	5595	81828
64	5667	81519
65	5805	82156
66	5902	82197
67	6035	82728
68	6157	83084
69	6281	83449
70	6370	83352
71	6452	83161
72	6548	83154
73	6660	83344
74	6745	83192
75	6831	83054
76	6904	82761
77	6984	82557
78	7055	82250
79	7134	82048
80	7233	82068
81	7316	81904
82	7393	81686
83	7476	81529
84	7562	81411
85	7645	81260
86	7728	81099
87	7845	81309
88	7953	81412
89	8048	81381
90	8131	81229
91	8213	81068
92	8306	81014
93	8382	80788
94	8467	80664
95	8553	80542
96	8636	80398
97	8728	80341
98	8812	80198
99	8896	80065
100	9006	80167
