iter	PRAUC	Logloss
0	0.8814367252	0.6185451235
1	0.8352416862	0.5745724283
2	0.9682764097	0.5166014957
3	0.9729602785	0.4777520758
4	0.9757812627	0.4352237866
5	0.9826065805	0.4060587901
6	0.9863621837	0.3895302438
7	0.9886755001	0.344137676
8	0.9902363578	0.329502868
9	0.9914888299	0.3115121811
10	0.9932779342	0.28496092
11	0.9933812526	0.2711676714
12	0.9937790638	0.266354595
13	0.9939213863	0.2565091659
14	0.9947676695	0.2486356087
15	0.9951763549	0.2441441871
16	0.995806646	0.2383777885
17	0.9966157947	0.2297743926
18	0.9972285904	0.2203059277
19	0.9977117071	0.2148590623
20	0.9987441797	0.1757177482
21	0.9988457198	0.1714642703
22	0.9988529615	0.1649768666
23	0.9989357327	0.1619585933
24	0.9990838653	0.1531214515
25	0.9991479678	0.1480854434
26	0.9992638053	0.1451295999
27	0.9993664929	0.1390006705
28	0.9994507211	0.1316768628
29	0.9994537273	0.1272551757
30	0.9995041431	0.1221178273
31	0.9996354507	0.1163088233
32	0.9997077947	0.1121031546
33	0.9996979811	0.1072034332
34	0.9997338845	0.1051392792
35	0.9997799903	0.1025959582
36	0.9997778299	0.09628706998
37	0.9998072436	0.09460764104
38	0.9998179183	0.09180469742
39	0.9998518936	0.08953984268
40	0.9998463622	0.08603293944
41	0.9998571622	0.08320318231
42	0.999861462	0.08277566345
43	0.9998638023	0.08120269538
44	0.9998963222	0.07895311254
45	0.9998861652	0.07691239863
46	0.9998858116	0.07472949676
47	0.9998866579	0.07338670178
48	0.9998913865	0.07132657721
49	0.9999161679	0.06915833868
50	0.9999307076	0.06639215129
51	0.9999384661	0.06371841256
52	0.9999424118	0.06256342888
53	0.9999530615	0.06078160276
54	0.9999534226	0.05950937437
55	0.9999524056	0.05765431219
56	0.9999603882	0.05532872888
57	0.9999689243	0.05234088689
58	0.9999763519	0.04963104096
59	0.9999813574	0.04655553837
60	0.9999817288	0.04313562692
61	0.9999814526	0.04250272812
62	0.9999819916	0.04153407511
63	0.9999826043	0.04051756665
64	0.9999833238	0.0395405199
65	0.9999842916	0.03915429753
66	0.9999864438	0.03845119559
67	0.999987539	0.03774896953
68	0.9999901463	0.03642932498
69	0.9999909999	0.03561381088
70	0.9999914291	0.0348819421
71	0.9999947391	0.03366544052
72	0.9999945049	0.03286973751
73	0.9999941847	0.03156669288
74	0.9999941841	0.03106957851
75	0.9999942743	0.03062550734
76	0.9999942711	0.03040044132
77	0.9999942951	0.02965381844
78	0.999994405	0.02897309156
79	0.9999960395	0.02840720852
80	0.9999968917	0.02719577437
81	0.9999966879	0.02690413114
82	0.9999967048	0.02651586565
83	0.9999967301	0.02600569004
84	0.9999967993	0.02582525693
85	0.999996812	0.0255151473
86	0.9999970434	0.02502804687
87	0.9999971037	0.02462275979
88	0.9999974349	0.02374235393
89	0.9999976026	0.02270655482
90	0.9999976613	0.02234711958
91	0.9999978067	0.02105291836
92	0.9999976363	0.02087579791
93	0.9999976352	0.02060257424
94	0.9999976199	0.02040385101
95	0.9999976082	0.01995258187
96	0.9999977201	0.01943724954
97	0.9999981334	0.01900818768
98	0.9999984079	0.01846927361
99	0.9999985219	0.01782545541
100	0.9999985793	0.01753434812
101	0.9999985511	0.01720731796
102	0.9999985937	0.01667489617
103	0.9999986939	0.01640268413
