iter	Passed	Remaining
0	20	16552
1	40	16003
2	59	15791
3	80	15929
4	100	16052
5	121	16053
6	145	16452
7	171	16936
8	193	17045
9	221	17493
10	246	17675
11	271	17814
12	297	18010
13	321	18073
14	347	18165
15	372	18266
16	395	18237
17	423	18402
18	449	18486
19	474	18523
20	500	18582
21	527	18637
22	553	18686
23	578	18719
24	602	18678
25	630	18764
26	658	18857
27	683	18852
28	712	18932
29	737	18940
30	762	18907
31	787	18911
32	812	18876
33	839	18917
34	864	18891
35	888	18865
36	915	18879
37	940	18852
38	963	18806
39	992	18851
40	1018	18853
41	1043	18830
42	1067	18801
43	1093	18788
44	1117	18741
45	1142	18732
46	1168	18717
47	1193	18691
48	1220	18713
49	1245	18688
50	1270	18657
51	1297	18659
52	1324	18668
53	1350	18655
54	1379	18680
55	1420	18872
56	1444	18826
57	1470	18809
58	1494	18768
59	1520	18755
60	1546	18739
61	1574	18737
62	1599	18708
63	1626	18704
64	1652	18681
65	1678	18663
66	1702	18628
67	1727	18597
68	1750	18547
69	1776	18521
70	1799	18473
71	1825	18457
72	1851	18438
73	1876	18405
74	1900	18368
75	1927	18358
76	1951	18323
77	1977	18307
78	2004	18293
79	2029	18264
80	2054	18234
81	2079	18207
82	2106	18198
83	2132	18175
84	2157	18152
85	2182	18120
86	2206	18087
87	2233	18072
88	2260	18060
89	2285	18027
90	2310	17998
91	2336	17981
92	2363	17965
93	2387	17932
94	2412	17903
95	2437	17873
96	2463	17854
97	2488	17823
98	2511	17786
99	2536	17752
100	2562	17735
101	2587	17704
102	2612	17681
103	2643	17691
